date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-07-23,2025-07-23 16:10:00+00:00,2025-07-23T17:04:00.000000,short,Normal,1.17521,1.17626,1.17206,1.17626,10.5,0.07,8.04,loss,-8.04,259.97,2,divergence|quarters|magnets,1.17606,True,neutral,short,short
2025-07-24,2025-07-24 16:55:00+00:00,2025-07-24T17:39:00.000000,short,Normal,1.17658,1.17722,1.17466,1.17722,6.4,0.12,7.8,loss,-7.8,252.17,1,divergence|magnets,1.17702,False,neutral,neutral,neutral
2025-07-31,2025-07-31 13:37:00+00:00,2025-07-31T14:00:00.000000,long,Normal,1.1408,1.14038,1.14206,1.1408,4.2,0.18,7.57,be,0.0,252.17,1,quarters|magnets,1.14058,False,neutral,long,long
2025-07-31,2025-07-31 14:04:00+00:00,2025-07-31T14:16:00.000000,long,Normal,1.14099,1.14053,1.14237,1.14237,4.6,0.18,7.57,win,22.7,274.87,2,quarters|magnets,1.14073,False,neutral,long,long
2025-07-31,2025-07-31 15:55:00+00:00,2025-07-31T16:09:00.000000,long,Normal,1.14381,1.14258,1.1475,1.14258,12.3,0.07,8.25,loss,-8.25,266.62,3,divergence|quarters|magnets,1.14278,True,neutral,long,long
2025-08-04,2025-08-04 14:35:00+00:00,2025-08-04T14:52:00.000000,short,RetailHeaven,1.15829,1.15891,1.15643,1.15643,6.2,0.14,8.0,win,24.0,290.62,1,quarters|magnets,1.15871,False,long,short,neutral
2025-08-04,2025-08-04 15:04:00+00:00,2025-08-04T19:55:00.000000,long,RetailHeaven,1.15636,1.15548,1.159,1.15636,8.8,0.1,8.72,be,0.0,290.62,2,divergence|magnets,1.15568,False,long,short,neutral
2025-08-12,2025-08-12 14:11:00+00:00,2025-08-12T15:03:00.000000,short,Normal,1.16532,1.16626,1.1625,1.16626,9.4,0.09,8.72,loss,-8.72,281.9,1,divergence|magnets,1.16606,False,neutral,neutral,neutral
2025-08-25,2025-08-25 15:21:00+00:00,2025-08-25T15:38:00.000000,long,Normal,1.16848,1.16778,1.17058,1.16778,7.0,0.12,8.46,loss,-8.46,273.44,1,quarters|magnets,1.16798,False,long,long,long
2025-08-26,2025-08-26 15:16:00+00:00,2025-08-26T18:01:00.000000,short,Normal,1.16584,1.16656,1.16368,1.16368,7.2,0.12,8.2,win,24.61,298.05,1,quarters|magnets,1.16636,False,short,short,short
2025-08-26,2025-08-26 16:30:00+00:00,2025-08-26T18:01:00.000000,short,Normal,1.16568,1.16635,1.16367,1.16367,6.7,0.15,8.94,win,26.82,324.88,2,divergence|magnets,1.16615,False,short,short,short
2025-08-28,2025-08-28 16:36:00+00:00,2025-08-28T16:53:00.000000,short,Normal,1.16811,1.16867,1.16643,1.16867,5.6,0.17,9.75,loss,-9.75,315.13,1,divergence|magnets,1.16847,False,neutral,neutral,neutral
2025-08-29,2025-08-29 13:33:00+00:00,2025-08-29T14:16:00.000000,long,Normal,1.16614,1.16541,1.16833,1.16833,7.3,0.14,9.45,win,28.36,343.49,1,quarters|magnets,1.16561,False,long,long,long
